Date,Fairfield County,Hartford County,Litchfield County,Middlesex County,New Haven County,New London County,Tolland County,Windham County
03/13/20,8,0,3,0,0,0,0,0
03/14/20,15,1,3,0,1,0,0,0
03/15/20,16,3,4,0,3,0,0,0
