Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Diamond Princess,District of Columbia,Florida,Georgia,Grand Princess,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
3/14/20,6,1,12,12,340,101,22,6,46,10,76,66,21,0,4,2,64,16,17,8,14,77,3,26,138,25,21,6,4,5,14,21,7,69,10,525,24,1,26,4,32,47,3,20,19,9,32,57,10,5,1,41,572,0,27,2
3/15/20,12,1,13,16,426,131,24,7,46,16,115,99,21,3,6,5,93,20,18,8,20,91,12,32,164,33,35,10,5,7,17,24,13,98,13,732,33,1,37,7,36,66,5,20,28,9,39,72,28,8,1,45,643,0,32,3
3/16/20,29,1,18,22,557,160,30,8,47,22,155,121,20,3,7,5,105,25,23,11,21,136,17,41,197,53,54,13,6,7,18,45,17,178,17,967,38,1,50,10,39,77,5,21,33,10,52,85,39,12,1,49,904,0,47,3
3/17/20,39,3,20,22,698,160,68,16,47,22,216,146,21,3,10,8,161,30,23,18,26,196,32,60,218,65,60,21,11,9,21,56,26,267,23,1706,64,3,67,19,66,112,5,23,47,11,74,110,51,12,2,67,1076,1,72,11
3/18/20,46,6,27,33,751,184,68,19,47,31,314,199,21,5,14,9,162,39,29,18,27,257,42,85,218,83,77,34,18,11,24,55,26,267,23,2495,70,6,86,19,68,152,5,33,47,11,79,173,51,18,2,77,1014,1,92,15
3/19/20,78,9,45,62,952,277,159,30,47,40,417,287,22,12,16,11,422,60,44,34,37,392,52,107,328,334,89,50,31,11,29,95,44,742,35,5365,123,18,119,44,88,206,5,44,81,11,154,260,80,22,3,99,1376,2,159,18
3/20/20,83,12,78,96,1177,363,194,38,49,71,563,420,23,14,26,23,585,86,45,44,47,538,56,149,413,552,115,80,53,15,37,114,44,890,43,8310,172,19,173,49,114,303,14,54,126,14,233,394,78,29,3,122,1524,7,207,19
3/21/20,131,15,118,122,1364,390,194,45,49,77,659,507,23,15,37,36,753,128,68,57,87,585,70,193,525,788,138,140,74,21,38,161,55,1327,43,11710,253,28,248,53,114,396,21,66,171,14,371,581,136,29,3,156,1793,8,282,23
3/22/20,138,21,152,165,1642,476,223,47,49,102,830,600,30,27,48,42,1049,201,90,64,99,837,89,244,646,1037,169,207,100,31,51,190,65,1914,57,15793,302,28,355,67,161,509,23,83,196,21,505,627,181,52,3,221,1996,12,381,24
3/23/20,196,30,235,192,2108,704,415,68,49,120,1227,772,28,29,56,68,1285,270,105,84,123,1172,107,290,777,1329,234,249,187,34,51,245,101,2844,83,20884,353,30,443,81,191,698,31,106,298,28,614,758,257,75,7,254,2221,16,425,26
3/24/20,242,34,326,219,2538,723,618,104,49,141,1412,1026,28,32,90,81,1537,368,124,100,162,1388,118,349,1159,1793,261,320,257,51,66,278,101,3675,100,25681,495,36,567,106,210,946,39,124,342,30,772,955,298,95,17,293,2328,22,481,29
3/25/20,381,41,401,280,2998,1021,875,119,49,187,1682,1247,28,37,91,91,1865,477,146,134,197,1795,142,425,1838,2296,286,377,354,65,71,323,108,4402,113,30841,590,45,704,164,266,1260,51,132,424,41,916,1229,340,125,17,396,2591,39,621,44
3/26/20,517,56,508,335,3899,1430,1012,130,49,231,2357,1525,28,45,95,146,2538,645,179,172,247,2304,155,583,2417,2845,344,485,520,90,74,420,137,6876,113,37877,738,51,868,248,316,1795,64,165,424,46,1097,1563,396,158,17,466,3207,52,728,53
3/27/20,587,58,665,381,4657,1433,1291,163,49,271,2900,2000,28,51,106,205,3024,979,235,206,301,2744,168,775,3240,3634,396,579,666,109,82,536,158,8825,136,44876,887,68,1137,322,416,2345,79,203,542,58,1318,1937,472,184,19,607,3477,76,926,70
3/28/20,694,85,773,409,5095,1740,1524,214,49,304,3763,2366,103,55,149,234,3491,1233,298,266,393,3315,211,995,4257,4650,441,663,836,129,96,626,187,11124,208,52410,1020,94,1406,377,479,2845,100,239,660,68,1511,2455,602,211,22,740,4030,96,1055,82
3/29/20,825,102,919,426,5852,2307,1993,232,49,342,4246,2651,103,56,149,281,4596,1513,336,330,438,3540,253,1239,4955,5488,503,759,915,154,108,920,214,13386,237,59648,1191,98,1653,429,548,3432,127,294,774,90,1720,2792,720,235,0,890,4465,113,1164,86
3/30/20,899,114,1157,473,7138,2311,2571,264,49,401,5473,2808,103,58,175,340,5056,1786,424,372,479,4025,275,1413,5752,6498,576,847,1051,171,145,1012,314,16636,237,66663,1313,109,1933,481,606,4155,174,408,925,101,1917,3147,804,256,0,1020,4923,145,1230,94
3/31/20,987,119,1289,523,8210,2966,3128,319,49,495,6741,3929,103,69,204,515,5994,2158,497,434,628,5237,303,1660,6620,7615,629,937,1357,198,172,1114,357,18696,315,75833,1535,122,2199,568,690,4963,239,488,1083,108,2391,3809,888,293,30,1249,5432,162,1412,109
