FIPS,Admin2,Province_State,Combined_Key,Population,Confirmed,Confirmed per 100K,Deaths,Deaths per 100K
"""48329""",Midland,Texas,"Midland, Texas, US",176832,2592,1465.7980456026057,48,27.14440825190011
"""48331""",Milam,Texas,"Milam, Texas, US",24823,333,1341.4978044555453,3,12.085565805905812
"""48333""",Mills,Texas,"Mills, Texas, US",4873,22,451.4672686230248,0,0.0
"""48335""",Mitchell,Texas,"Mitchell, Texas, US",8545,61,713.867758923347,1,11.702750146284377
"""48337""",Montague,Texas,"Montague, Texas, US",19818,70,353.21424967201534,1,5.045917852457363
"""48339""",Montgomery,Texas,"Montgomery, Texas, US",607391,6577,1082.8280300498361,82,13.500364674484805
"""48341""",Moore,Texas,"Moore, Texas, US",20940,1050,5014.32664756447,13,62.082139446036294
"""48343""",Morris,Texas,"Morris, Texas, US",12388,115,928.3177268324184,3,24.216984178237002
"""48345""",Motley,Texas,"Motley, Texas, US",1200,6,500.0,0,0.0
"""48347""",Nacogdoches,Texas,"Nacogdoches, Texas, US",65204,1147,1759.0945340776639,42,64.4132261824428
"""48349""",Navarro,Texas,"Navarro, Texas, US",50113,856,1708.139604493844,8,15.963921537325644
"""48351""",Newton,Texas,"Newton, Texas, US",13595,93,684.0750275836705,4,29.42258183155572
"""48353""",Nolan,Texas,"Nolan, Texas, US",14714,134,910.6972950931086,3,20.388745412532284
"""48355""",Nueces,Texas,"Nueces, Texas, US",362294,14073,3884.414315445467,234,64.5884281826362
"""48357""",Ochiltree,Texas,"Ochiltree, Texas, US",9836,95,965.8397722651484,2,20.3334688897926
"""48359""",Oldham,Texas,"Oldham, Texas, US",2112,14,662.8787878787879,1,47.34848484848485
"""48361""",Orange,Texas,"Orange, Texas, US",83396,1412,1693.1267686699603,19,22.78286728380258
"""48363""",Palo Pinto,Texas,"Palo Pinto, Texas, US",29189,265,907.876254753503,7,23.98163691801706
"""48365""",Panola,Texas,"Panola, Texas, US",23194,291,1254.6348193498318,18,77.6062774855566
"""48367""",Parker,Texas,"Parker, Texas, US",142878,1225,857.3748232758016,19,13.298058483461416
"""48369""",Parmer,Texas,"Parmer, Texas, US",9605,340,3539.8230088495575,7,72.87870900572618
"""48371""",Pecos,Texas,"Pecos, Texas, US",15823,244,1542.0590279972193,1,6.319914049168932
"""48373""",Polk,Texas,"Polk, Texas, US",51353,748,1456.584814908574,12,23.367670827410276
"""48375""",Potter,Texas,"Potter, Texas, US",117415,3661,3118.0002555039814,44,37.473917301877954
"""48377""",Presidio,Texas,"Presidio, Texas, US",6704,46,686.1575178997614,2,29.83293556085919
"""48379""",Rains,Texas,"Rains, Texas, US",12514,51,407.54355122263064,1,7.99105002397315
"""48381""",Randall,Texas,"Randall, Texas, US",137713,1725,1252.605055441389,21,15.249105022764736
"""48383""",Reagan,Texas,"Reagan, Texas, US",3849,63,1636.788776305534,3,77.9423226812159
"""48385""",Real,Texas,"Real, Texas, US",3452,87,2520.278099652375,1,28.968713789107763
"""48387""",Red River,Texas,"Red River, Texas, US",12023,136,1131.1652665724027,11,91.49130832570906
"""48389""",Reeves,Texas,"Reeves, Texas, US",15976,146,913.870806209314,5,31.296945418127194
"""48391""",Refugio,Texas,"Refugio, Texas, US",6948,220,3166.3788140472075,4,57.57052389176742
"""48393""",Roberts,Texas,"Roberts, Texas, US",854,6,702.576112412178,0,0.0
"""48395""",Robertson,Texas,"Robertson, Texas, US",17074,234,1370.5048611924565,2,11.713716762328687
"""48397""",Rockwall,Texas,"Rockwall, Texas, US",104915,896,854.0246866510986,13,12.390983176857457
"""48399""",Runnels,Texas,"Runnels, Texas, US",10264,124,1208.1060015588464,1,9.742790335151987
"""48401""",Rusk,Texas,"Rusk, Texas, US",54406,369,678.2340183068044,2,3.6760651398742787
"""48403""",Sabine,Texas,"Sabine, Texas, US",10542,51,483.7791690381332,6,56.91519635742743
"""48405""",San Augustine,Texas,"San Augustine, Texas, US",8237,162,1966.7354619400269,11,133.54376593419934
"""48407""",San Jacinto,Texas,"San Jacinto, Texas, US",28859,177,613.3268651027408,8,27.720988253231226
"""48409""",San Patricio,Texas,"San Patricio, Texas, US",66730,935,1401.1688895549228,23,34.467256106698635
"""48411""",San Saba,Texas,"San Saba, Texas, US",6055,24,396.36663914120555,0,0.0
