,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
4/17/20,2.173186268412274,0.7781512503836436,0.0,2.1522883443830563,1.5797835966168101,3.016197353512439,2.5899496013257077,3.0149403497929366,1.792391689498254,1.9395192526186185,2.8609366207000937,2.808885867359812,0.7781512503836436,1.0,1.6232492903979006,3.0538464268522527,2.718501688867274,1.8129133566428555,1.919078092376074,2.1367205671564067,3.083860800866573,1.4771212547196624,2.525044807036845,3.089905111439398,3.374748346010104,2.0492180226701815,2.1492191126553797,2.361727836017593,0.9542425094393249,1.2041199826559248,2.1522883443830563,0.6020599913279624,3.5841049703994527,1.6532125137753437,4.2350737146995066,2.250420002308894,1.0,0.47712125471966244,2.622214022966295,2.12057393120585,1.8512583487190752,2.9647309210536292,1.7708520116421442,0.6020599913279624,2.0681858617461617,0.9030899869919435,2.1492191126553797,2.655138434811382,1.380211241711606,1.5563025007672873,0.47712125471966244,2.2174839442139063,2.7810369386211318,0.9030899869919435,2.315970345456918,0.3010299956639812
4/18/20,2.187520720836463,0.7781512503836436,0.0,2.2576785748691846,1.591064607026499,3.0572856444182146,2.6138418218760693,3.0350292822023683,1.8325089127062364,1.9637878273455553,2.8744818176994666,2.824125833916549,0.7781512503836436,1.0,1.6434526764861874,3.0993352776859577,2.7371926427047373,1.8750612633917,1.9344984512435677,2.143014800254095,3.1027766148834415,1.5185139398778875,2.625312450961674,3.141763230275788,3.3902283624691303,2.0863598306747484,2.184691430817599,2.374748346010104,1.0413926851582251,1.2041199826559248,2.1818435879447726,0.6020599913279624,3.6094876898532853,1.7323937598229686,4.248022336412354,2.27415784926368,1.0,0.47712125471966244,2.655138434811382,2.12057393120585,1.863322860120456,3.018284308426531,1.7853298350107671,0.6020599913279624,2.0791812460476247,0.9030899869919435,2.1522883443830563,2.678518379040114,1.414973347970818,1.5797835966168101,0.6020599913279624,2.2174839442139063,2.788168371141168,0.9030899869919435,2.3283796034387376,0.3010299956639812
4/19/20,2.1986570869544226,0.7781512503836436,0.0,2.2648178230095364,1.6020599913279623,3.0704073217401198,2.6232492903979003,3.0507663112330423,1.8325089127062364,1.9867717342662448,2.88930170250631,2.833147111912785,0.7781512503836436,1.0413926851582251,1.6532125137753437,3.1099158630237933,2.7505083948513462,1.8808135922807914,1.9731278535996986,2.1492191126553797,3.1126050015345745,1.5440680443502757,2.6646419755561257,3.2271150825891253,3.4058583993176366,2.130333768495006,2.2041199826559246,2.385606273598312,1.0413926851582251,1.2787536009528289,2.2013971243204513,0.6020599913279624,3.63978521298682,1.7481880270062005,4.259641653428861,2.303196057420489,1.0,0.47712125471966244,2.673941998634088,2.1492191126553797,1.8750612633917,3.1061908972634154,1.7993405494535817,0.6020599913279624,2.0827853703164503,0.9030899869919435,2.1702617153949575,2.6910814921229687,1.4471580313422192,1.5797835966168101,0.6020599913279624,2.2174839442139063,2.8041394323353503,0.9030899869919435,2.3443922736851106,0.3010299956639812
4/20/20,2.214843848047698,0.7781512503836436,0.0,2.2810333672477277,1.6232492903979006,3.087781417809542,2.6503075231319366,3.1231980750319988,1.863322860120456,2.0253058652647704,2.91539983521227,2.884795363948981,0.7781512503836436,1.0413926851582251,1.662757831681574,3.1293675957229854,2.761927838420529,1.9030899869919435,2.012837224705172,2.1903316981702914,3.1231980750319988,1.5563025007672873,2.6910814921229687,3.2271150825891253,3.4202858849419178,2.1583624920952498,2.230448921378274,2.4216039268698313,1.0413926851582251,1.2787536009528289,2.2041199826559246,0.6020599913279624,3.652922887567942,1.7708520116421442,4.281692267160937,2.3404441148401185,1.0,0.47712125471966244,2.7075701760979363,2.1583624920952498,1.8808135922807914,3.1300119496719043,1.806179973983887,0.6020599913279624,2.093421685162235,0.9030899869919435,2.1818435879447726,2.7058637122839193,1.462397997898956,1.591064607026499,0.6020599913279624,2.2671717284030137,2.808885867359812,0.9030899869919435,2.3636119798921444,0.3010299956639812
4/21/20,2.2648178230095364,0.7781512503836436,0.0,2.3201462861110542,1.6334684555795864,3.1075491297446862,2.683947130751512,3.1522883443830563,1.919078092376074,2.0530784434834195,2.938519725176492,2.8987251815894934,0.7781512503836436,1.0413926851582251,1.6901960800285136,3.166430113843283,2.803457115648414,1.9242792860618816,2.041392685158225,2.2355284469075487,3.1473671077937864,1.568201724066995,2.7267272090265724,3.2909245593827543,3.4379090355394983,2.2068258760318495,2.2648178230095364,2.450249108319361,1.1139433523068367,1.2787536009528289,2.214843848047698,0.6020599913279624,3.655234507034294,1.7708520116421442,4.295435142353147,2.3909351071033793,1.146128035678238,0.47712125471966244,2.7466341989375787,2.2174839442139063,1.8976270912904414,3.2081725266671217,1.8129133566428555,0.6020599913279624,2.0969100130080562,0.9542425094393249,2.1958996524092336,2.727541257028556,1.5185139398778875,1.6127838567197355,0.6020599913279624,2.2671717284030137,2.8228216453031045,0.9030899869919435,2.3891660843645326,0.3010299956639812
4/22/20,2.294466226161593,0.7781512503836436,0.0,2.3654879848909,1.6334684555795864,3.1522883443830563,2.7041505168397992,3.1878026387184195,1.954242509439325,2.1072099696478683,2.951337518795918,2.9242792860618816,0.7781512503836436,1.1139433523068367,1.7160033436347992,3.194514341882467,2.824125833916549,1.9590413923210936,2.0530784434834195,2.2695129442179165,3.168202746842631,1.6020599913279623,2.7715874808812555,3.2909245593827543,3.475235222604128,2.255272505103306,2.287801729930226,2.4800069429571505,1.1760912590556813,1.2787536009528289,2.2380461031287955,0.6020599913279624,3.711891549880579,1.8573324964312685,4.305437359840312,2.424881636631067,1.1760912590556813,0.47712125471966244,2.786041210242554,2.2329961103921536,1.8976270912904414,3.2237554536572413,1.806179973983887,0.6020599913279624,2.1492191126553797,1.0,2.1958996524092336,2.745855195173729,1.5185139398778875,1.6127838567197355,0.6020599913279624,2.5440680443502757,2.8369567370595505,0.9030899869919435,2.3961993470957363,0.3010299956639812
4/23/20,2.307496037913213,0.7781512503836436,0.0,2.3979400086720375,1.662757831681574,3.185258765296585,2.7403626894942437,3.2132520521963968,1.968482948553935,2.146128035678238,2.9947569445876283,2.940516484932567,0.7781512503836436,1.1139433523068367,1.7403626894942439,3.227629649571009,2.8494194137968996,1.9867717342662448,2.0569048513364727,2.2833012287035497,3.1878026387184195,1.6532125137753437,2.808210972924222,3.2909245593827543,3.499412125672275,2.303196057420489,2.305351369446624,2.5024271199844326,1.1760912590556813,1.591064607026499,2.2810333672477277,0.6020599913279624,3.734559821579476,1.8976270912904414,4.316892503761295,2.450249108319361,1.2041199826559248,0.47712125471966244,2.8175653695597807,2.255272505103306,1.9242792860618816,3.2367890994092927,1.845098040014257,0.0,2.1789769472931693,1.0,2.2329961103921536,2.781755374652469,1.5563025007672873,1.6434526764861874,0.6020599913279624,2.5728716022004803,2.8524799936368566,1.505149978319906,2.413299764081252,0.3010299956639812
4/24/20,2.322219294733919,0.7781512503836436,0.0,2.4265112613645754,1.6812412373755872,3.2095150145426308,2.826722520168992,3.246005904076029,2.0043213737826426,2.187520720836463,3.0199466816788423,2.949390006644913,0.7781512503836436,1.146128035678238,1.7403626894942439,3.254064452914338,2.870403905279027,2.03342375548695,2.0755469613925306,2.303196057420489,3.204662511748219,1.6812412373755872,2.837588438235511,3.2909245593827543,3.5140161804006493,2.346352974450639,2.322219294733919,2.53655844257153,1.1760912590556813,1.591064607026499,2.292256071356476,0.6020599913279624,3.754654069255432,1.9294189257142926,4.321308389775909,2.469822015978163,1.2041199826559248,0.47712125471966244,2.8394780473741985,2.2764618041732443,1.9395192526186185,3.2425414282983844,1.8920946026904804,0.0,2.1986570869544226,1.0413926851582251,2.2278867046136734,2.7958800173440754,1.6020599913279623,1.6532125137753437,0.6020599913279624,2.6148972160331345,2.859138297294531,1.5185139398778875,2.4216039268698313,0.3010299956639812
4/25/20,2.322219294733919,0.7781512503836436,0.0,2.437750562820388,1.6901960800285136,3.2273724422896364,2.833147111912785,3.2695129442179165,2.0530784434834195,2.220108088040055,3.0236639181977933,2.952792443044092,0.7781512503836436,1.146128035678238,1.7558748556724915,3.2730012720637376,2.8959747323590648,2.0530784434834195,2.0827853703164503,2.3138672203691533,3.216165902285993,1.6812412373755872,2.876217840591642,3.4342494523964757,3.5234863323432277,2.3891660843645326,2.346352974450639,2.5538830266438746,1.1760912590556813,1.591064607026499,2.3138672203691533,0.6020599913279624,3.771954748963949,1.9731278535996986,4.342620042553348,2.48572142648158,1.2304489213782739,0.47712125471966244,2.8524799936368566,2.290034611362518,1.9444826721501687,3.2538224387080734,1.9242792860618816,0.0,2.2227164711475833,1.0413926851582251,2.247973266361807,2.8055008581584002,1.6232492903979006,1.6720978579357175,0.6020599913279624,2.6414741105040997,2.8680563618230415,1.5185139398778875,2.4265112613645754,0.3010299956639812
4/26/20,2.342422680822206,0.7781512503836436,0.0,2.4409090820652177,1.7160033436347992,3.236537261488694,2.8356905714924254,3.2844307338445193,2.0827853703164503,2.2528530309798933,3.0318122713303706,2.958085848521085,0.7781512503836436,1.1760912590556813,1.7558748556724915,3.286456469746983,2.910624404889201,2.0755469613925306,2.0863598306747484,2.3201462861110542,3.2229764498933915,1.7075701760979363,2.884228769632604,3.4407517004791854,3.544564097496043,2.436162647040756,2.357934847000454,2.574031267727719,1.1760912590556813,1.591064607026499,2.3138672203691533,0.6020599913279624,3.7737133252770216,2.0,4.3477202170340385,2.5118833609788744,1.255272505103306,0.47712125471966244,2.8627275283179747,2.292256071356476,1.968482948553935,3.2593549273080344,1.9294189257142926,0.0,2.2430380486862944,1.0791812460476249,2.255272505103306,2.81424759573192,1.6232492903979006,1.6720978579357175,0.6989700043360189,2.6532125137753435,2.8750612633917,1.5440680443502757,2.436162647040756,0.3010299956639812
