State,1/31/20 Total Confirmed,2/29/20 Total Confirmed,3/31/20 Total Confirmed,1/31/20 Total Confirmed Per 100K,2/29/20 Total Confirmed Per 100K,3/31/20 Total Confirmed Per 100K,1/31/20 Total Deaths,2/29/20 Total Deaths,3/31/20 Total Deaths,1/31/20 Total Deaths Per 100K,2/29/20 Total Deaths Per 100K,3/31/20 Total Deaths Per 100K,Population,Jan 2020 Unemployment,Feb 2020 Unemployment,Jan 2020 Change Non-Farm Employment,Feb 2020 Change Non-Farm Employment
Oregon,0,1,690,0.0,0.023709396768930826,16.35948377056227,0,0,18,0.0,0.0,0.4267691418407549,4217737,3.3,3.3,-0.2999999999999545,3.099999999999909
Pennsylvania,0,0,4963,0.0,0.0,38.767413407400994,0,0,63,0.0,0.0,0.49211103055939204,12801989,4.7,4.7,17.100000000000364,15.599999999999454
Puerto Rico,0,0,239,0.0,0.0,8.147519881312112,0,0,8,0.0,0.0,0.2727203307552171,2933408,8.9,8.8,2.5,-0.5
Rhode Island,0,0,304,0.0,0.0,28.696544426309824,0,0,0,0.0,0.0,0.0,1059361,3.4,3.4,1.1999999999999886,1.6000000000000227
South Carolina,0,0,1083,0.0,0.0,21.03437868174461,0,0,22,0.0,0.0,0.4272911643567695,5148714,2.4,2.5,5.599999999999909,3.100000000000364
South Dakota,0,0,108,0.0,0.0,12.20809374007386,0,0,1,0.0,0.0,0.11303790500068388,884659,3.4,3.3,0.8999999999999773,0.10000000000002274
Tennessee,0,0,1894,0.0,0.0,27.733954355241213,0,0,12,0.0,0.0,0.17571671186002874,6829174,3.3,3.4,8.400000000000091,4.800000000000182
Texas,0,0,3809,0.0,0.0,13.136348573095605,0,0,54,0.0,0.0,0.1862333481089952,28995881,3.5,3.5,28.899999999999636,50.399999999999636
Utah,0,0,866,0.0,0.0,27.012206647747725,0,0,5,0.0,0.0,0.15595962267752728,3205958,2.5,2.5,1.2999999999999545,4.600000000000136
Vermont,0,0,282,0.0,0.0,45.19310436562184,0,0,5,0.0,0.0,0.8012961766954225,623989,2.4,2.4,-0.9000000000000341,0.5
Virginia,0,0,1249,0.0,0.0,14.632970766042463,0,0,15,0.0,0.0,0.175736238183056,8535519,2.7,2.6,7.799999999999727,11.100000000000364
Washington,1,7,5158,0.013132160885254724,0.09192512619678307,67.73568584614387,0,1,225,0.0,0.013132160885254724,2.954736199182313,7614893,3.9,3.8,7.700000000000273,3.5
West Virginia,0,0,162,0.0,0.0,9.039437055107646,0,0,1,0.0,0.0,0.05579899416733114,1792147,5,4.9,2.6000000000000227,-2.5
Wisconsin,0,0,1412,0.0,0.0,24.251026289005594,0,0,25,0.0,0.0,0.4293736949186543,5822434,3.5,3.5,5.599999999999909,5.099999999999909
Wyoming,0,0,109,0.0,0.0,18.833400430922023,0,0,0,0.0,0.0,0.0,578759,3.7,3.7,-0.5999999999999659,0.0999999999999659
