Date,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
4/14/20,80.62106569505332,38.95864232548921,0.0,52.33065112986258,48.1475934156095,64.17254731529532,135.984702198538,377.4170214066918,196.65956022198398,291.6050890614085,100.6856541729699,128.3362262198652,80.9844789897034,35.87894950956019,81.92203417335128,183.03604509564963,126.65957539408626,60.188838916410724,49.46257080424561,45.32560910344154,461.6681229583415,54.53008900381786,156.67385637347658,401.27657543275643,267.88207741434564,29.43454466532568,103.72464550665978,71.60782274339907,37.332355269288854,45.440258725150024,101.7480932783924,67.73498191895189,755.6920083898227,64.14447720820344,776.0207375124953,48.75056301989954,44.7470153347103,19.947773103148123,62.3230188808377,55.19373278196883,38.71744492366404,198.914403066586,31.465108160883176,160.4740971208115,69.00752304361826,111.68145014067566,79.52645517598468,51.75217818006633,75.39088160231668,114.26483479676725,47.54446806130439,72.42676162984348,135.45823953140248,35.71135626709193,61.0397644696359,48.724944234128536
4/15/20,83.10924429732918,40.05221825041522,0.0,54.460147303432734,50.400887532788744,67.5385943230782,141.85404574892823,398.78977484842034,205.08049178240316,311.3004765150216,104.78757608401666,132.24489596015906,82.20229070383428,36.938367310039325,82.42565323589237,193.7211707772703,133.09133288741796,63.23156063098442,51.625056550718526,47.720591905450554,470.9823666094905,57.13384495897968,165.93666882798956,425.76695287619026,278.53607996990445,32.04109771701416,112.89757334058208,72.30201870677027,37.80017927015713,45.595344932403094,104.08563722097192,83.76780065763975,786.3038282225442,70.7735347040698,819.7258951950778,50.91492402234765,47.896365387593136,23.574640940084144,66.67750297285505,57.19020937985141,39.42872682673197,208.97533969135577,33.20370026944769,235.51933665672044,71.00802258583406,132.02827304079878,79.52645517598468,54.85951608092198,79.4770237164679,119.23287109227886,47.54446806130439,76.15236987932427,138.66248678740462,39.17089390546646,63.890805803895766,49.58886168508827
4/16/20,88.61586907285775,41.009097184725476,0.0,58.210808305914355,52.223404833448434,70.04667897323823,149.14731288254922,430.54037444951837,210.83137187244546,332.9795720574878,108.65669879466351,139.5630559317454,82.20229070383428,36.938367310039325,88.80482802807957,202.64648624692535,141.73632794773908,67.85903323856523,55.43515048498033,52.77915371156304,483.4802316471756,59.06806366852848,178.3753026954784,457.6421656980055,286.0459501923378,32.04109771701416,121.76809696019923,78.08195466266528,38.82939207206736,48.02502884603455,104.28043254952023,83.76780065763975,836.1563983657184,70.7735347040698,855.0332715737741,53.76577838240045,51.57060711595645,23.574640940084144,71.98158968611784,59.565763812774975,41.159512790863914,220.7313254213857,35.555913122211436,247.9796783155128,76.34916214029367,148.19269345589657,83.84615767587705,58.20137004976673,83.68793352876114,121.63675962236513,47.54446806130439,80.70979632287153,141.63035514747222,40.62166775381707,66.55292271239142,51.143913096815766
4/17/20,93.22511795904092,42.239370100267244,0.0,61.975207993386746,54.741792376178175,73.79235534280113,155.93699728551545,457.5788709296054,235.6833894044142,350.8329448571659,115.25888411800555,152.19323935761062,82.81119656089972,37.43276228359626,90.03589684762446,217.0485204928321,150.8269413101386,73.88108663199232,59.38254510155788,54.50264600833589,496.0856514614328,61.448640541819294,191.40940307790024,488.0955438104271,299.4535718294554,36.70452256459287,127.44657609548447,81.05492433188543,39.484345673282945,50.351321954830624,111.22813260107604,94.50537651015547,875.3246665518301,76.16262461078132,881.4306669696034,57.636838148893546,51.57060711595645,23.574640940084144,77.91018983497446,59.565763812774975,42.32127323254153,233.46372192633507,36.40816415582149,319.7210393812874,79.61211284992719,159.49648395596495,84.98831630296723,61.557019081434355,87.11904522766673,123.23935197575597,47.54446806130439,87.76267734861817,146.85695517980358,43.24422047968164,69.61006342021223,52.698964508543284
4/18/20,96.10079978626138,42.922855053346,0.0,64.90154789642185,56.3986262858688,77.16852580023149,162.53566754926774,477.5211644953127,257.55727260403955,377.7546974916011,118.67637637987653,156.66701797601922,82.81119656089972,40.11662071147674,92.6099498339456,229.45399875834738,158.06081174721143,79.61788486467812,62.50613562424098,58.95686635973582,506.00220186138597,62.93650108762606,203.88111841844093,517.0690531436837,307.0936131357443,39.169222388978575,133.5282608498432,84.19389738365086,39.85860487397757,61.4658334746341,116.61747002424552,98.69744379504174,908.2444757430318,85.74852789617084,907.7172131811759,60.33513842947863,69.2857011634224,25.388074858552155,87.4489909402777,59.565763812774975,43.72012764190845,247.242830781998,38.11266622304159,315.7563852171262,82.50603937216167,174.30444951105454,92.14877231126341,64.50571375982679,90.9868438700694,127.085573623894,49.408957004884954,94.34692840587667,148.81364715170653,43.80221042135494,72.11760579853717,53.39009846931106
4/19/20,99.69030334364295,43.60634000642476,0.0,67.77293305949387,57.49213666626461,79.54753646738631,166.9810875164272,488.9648435034823,257.55727260403955,395.74976372619733,122.50359523445138,161.80009028556177,82.81119656089972,40.540387831668404,93.3373995909494,238.65551762449928,166.5275594867012,91.75707670511272,65.38944995287154,64.48547151951362,513.466503355494,64.34996860614248,212.4988421484432,540.616376953336,313.60216732851984,41.70484882701566,143.60840132668088,86.66885690523516,40.513558475193165,74.13120706696829,120.38351304284588,102.2276057191565,953.7737877708088,87.99000776887385,930.2998676842979,62.90948852049621,76.76540753901914,25.388074858552155,99.25486136657229,64.87285350334889,45.284947828657884,257.0069385311923,41.3512201507598,347.00163589182534,85.01151938134454,184.81697467611815,98.22564192975608,66.42322749220828,95.72801639946626,128.68816597728485,49.408957004884954,100.0759297706443,155.20900950282558,49.66110480892471,74.64232312465886,54.081232430078835
4/20/20,103.58573049966502,43.87973398765626,0.0,69.62765553324851,63.88751555767041,85.254631206146,173.40610856271238,541.3589424918667,278.7122957924097,414.73668400522,125.97230332041035,171.0396204427383,82.81119656089972,40.822899245129506,93.56123028541212,247.6597483502963,173.61289048974788,100.06117138447009,70.29794934565928,66.63424113626937,526.2440108122665,65.01950585175553,226.34343862063488,540.616376953336,319.4498529417213,43.7262573160802,151.60531277163878,88.88726574470401,40.513558475193165,83.28129329489953,123.17557941870477,106.12549284369987,992.2890638457407,93.9990814701628,949.5417571170528,65.74127362061554,82.27677013156409,25.388074858552155,110.5217681429708,67.72857319399107,46.39928947679763,264.91196016494,42.68073176319148,399.2029157199482,86.35165985137259,190.46886992615234,101.1542537940899,68.11657145371787,100.21965353257903,129.00868444796302,49.408957004884954,105.32458541771157,156.99498338322022,50.33069273893269,77.27009013756103,54.77236639084663
4/21/20,108.43971826476056,44.97330991258227,0.0,72.21052831151424,64.45083908696522,89.7570354368571,179.67484531327707,556.9537599637841,297.9161275216582,438.96626137621166,129.7389943828812,173.68621368857583,82.81119656089972,40.96415495186006,97.14252139681544,259.37077236176236,179.68815334141684,114.73596465371608,74.27966913281576,70.08122572981506,533.3641370213436,65.98661520652992,234.76267351232616,584.257997421256,326.1286308595387,45.44622769712633,158.45980829588842,91.5433198654286,40.88781767588779,87.10675307380863,126.71436122066544,108.55247916652876,1005.5403003088203,93.9990814701628,969.047391160626,68.02005018266445,84.5075597523561,25.388074858552155,117.41708087021242,70.93809886400481,47.513631124937376,275.3400272410795,44.248873665033976,424.78437473155986,86.21570357180453,198.38152327620023,103.86321976859865,70.95490562952718,102.83977519356148,130.61127680135388,49.408957004884954,112.82266491352195,160.64572410932104,50.66548670393668,79.43413355995105,76.54308615503172
4/22/20,114.0687124797453,45.79349185627679,0.0,75.19182295451245,72.27109514070496,94.51252590875487,187.47169517755285,614.7892161276217,325.74627938597035,454.26915234736424,131.8062512824326,184.07479856458576,82.81119656089972,41.38792207205171,98.82125160528577,275.2485218975237,184.75334804170808,118.66614686837376,80.01197261949794,73.99825367702606,542.0330520130598,67.325689697756,244.38938217040928,610.6634991671385,339.70647622169815,48.19463397611759,164.44069164547878,94.72756656697912,41.07494727623511,93.10341975426073,132.2984939723832,115.53925797467255,1068.0811826812983,105.39724507816328,987.0240709385853,71.4620516006546,89.10036191281024,25.388074858552155,120.77063246956567,73.13675030724258,48.81764794722857,281.8468286451426,42.68073176319148,466.88522609384336,92.46969243193543,210.02442749127064,103.86321976859865,73.5311336117016,107.4561800248163,131.4125729780493,50.341201476675245,120.27388141248353,163.324684929913,52.39525552312394,83.2126220752352,77.2342201157995
4/23/20,118.94309515141688,46.06688583750829,0.0,79.29968976675423,81.91386849510438,100.12344787586362,193.9661759108249,633.2730015844446,339.4046195998209,476.2316347596667,138.04061386914273,193.49327986649868,84.63791413209603,41.67043348551282,102.73828875838316,289.9662171679982,193.68056802667886,124.276165029619,93.39878914528265,76.37085346219385,552.3367996086728,69.70626657104684,260.3015707083405,657.0327209143036,352.9939399352569,52.11332938035673,173.14321292381533,98.16836395064507,41.35564167675607,113.47140830683082,136.48659353617154,122.01122150221629,1113.6555286477771,113.45703440766987,1007.0457270468034,74.56080633984243,93.03704947891379,25.388074858552155,125.70685510432797,76.24518855457875,50.429886927515874,299.789353045062,48.27149854367344,495.5817705201532,95.49957523373799,221.10214218133768,116.54410914116407,78.11454323460633,112.6652314222457,131.73309144872746,50.341201476675245,128.84980983581664,165.71473821102936,54.73881327815185,86.76783626916166,78.27092105695117
