,Alabama,Alaska,American Samoa,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Guam,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Northern Mariana Islands,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virgin Islands,Virginia,Washington,West Virginia,Wisconsin,Wyoming
5/21/20,4.123492301422652,2.60422605308447,0.0,4.186080086091452,3.724930914192398,4.944640568709589,4.363630780112138,4.591231611251554,3.92121812119495,3.89148170383952,4.68658264934965,4.562364249463112,2.220108088040055,2.8048206787211623,3.3991543339582164,5.010778943150474,4.476208277345551,4.208360724978379,3.935809453809933,3.9169274661129925,4.561423405743846,3.2730012720637376,4.638808620500164,4.966240318133762,4.763008472192659,4.259283216189964,4.087177811761157,4.070960915800934,2.681241237375587,4.051461244324184,3.8692904042093983,3.5933968423002067,5.180661958087928,3.8009918612601714,5.55200958440458,4.312029180025536,3.3483048630481607,1.3617278360175928,4.479546519397564,3.7544247892772584,3.581835924057648,4.8404385915303525,3.4644895474339714,4.079868335175173,3.9722954286111394,3.62096843564429,4.268484363846722,4.724718133052417,3.896250562461638,2.975891136401793,1.845098040014257,4.533238074060297,4.2799405728395525,3.2024883170600935,4.142577160920535,2.9041743682841634
5/22/20,4.135800283302111,2.606381365110605,0.0,4.1938200260161125,3.737907923374639,4.955461646719431,4.369104485571629,4.596080032486096,3.928242183157309,3.8972971220594967,4.69344553340633,4.570998010109707,2.220108088040055,2.801403710017355,3.4143046881283317,5.022127188929058,4.483016420144132,4.217141637938281,3.949877704036875,3.9242275812601175,4.566119167936892,3.289142835932333,4.64762743647734,4.970649010310443,4.766940521420115,4.2784334765374155,4.101265784991335,4.078674273360466,2.681241237375587,4.060471192797679,3.8765642139838454,3.601842789782098,5.183497610559352,3.811373897053893,5.554071018477336,4.344608384580567,3.3651134316275773,1.3617278360175928,4.488480208426273,3.7671558660821804,3.5871494982543437,4.846411344158343,3.4815859363676225,4.086680093734625,3.9840319802711806,3.639187559935754,4.278319089178812,4.728678366850914,3.906227263052359,2.976808337338066,1.845098040014257,4.543459606069367,4.283459536376994,3.222456336679247,4.158272004652084,2.905256048748451
5/23/20,4.149773177559665,2.61066016308988,0.0,4.205583258640754,3.750354088762708,4.966329495163878,4.377288033635704,4.599970358674706,3.928242183157309,3.9012948171655673,4.6993520154198585,4.5766522720643374,2.220108088040055,2.802089257881733,3.4143046881283317,5.031699243189516,4.48998658819038,4.227809604075215,3.951677437343301,3.931610406362962,4.566119167936892,3.3040594662175993,4.657973215244112,4.974451817684714,4.7707194948050855,4.297322714205302,4.11414374967188,4.08439751914115,2.681241237375587,4.071697945221614,3.876621916034273,3.6101276130759956,5.185091478679716,3.811373897053893,5.556214426567299,4.3591712057167005,3.3740147402919116,1.3617278360175928,4.497054109547331,3.7753191218294777,3.58983794314746,4.851319512648745,3.4915017662373264,4.095134466939837,3.9954596866210643,3.649821463224565,4.2871744603745015,4.738598243341037,3.9170326221623935,2.9777236052888476,1.845098040014257,4.5532760461371,4.283459536376994,3.222456336679247,4.172544554372363,2.910624404889201
5/24/20,4.160738568112582,2.61066016308988,0.0,4.214260866777542,3.761401557498631,4.9732248659989295,4.381115080709851,4.6048629831737085,3.9421569284674907,3.9090744014009045,4.7057183531931015,4.583572809143774,2.2227164711475833,2.802089257881733,3.4194600727860704,5.041593993209301,4.49661141771717,4.236763922187807,3.954483717155552,3.931610406362962,4.569280251110929,3.312811826212088,4.665712291313652,4.979389013112218,4.77326702829461,4.312917481116369,4.122576275057186,4.09321149181366,2.681241237375587,4.077222510411053,3.8966364305295844,3.616580530085886,5.187320447989401,3.829689640898971,5.558127523090964,4.368584372357485,3.3836358683618797,1.3617278360175928,4.503954023301783,3.7808931086870787,3.594171479114912,4.854694607040358,3.503790683057181,4.098574510025707,4.004192356259714,3.659345635746177,4.294422133112984,4.747116480477317,3.9239172231131056,2.9786369483844743,1.845098040014257,4.559248104088254,4.295720999848835,3.24551266781415,4.184066505691661,2.9237619608287004
5/25/20,4.175714707308695,2.611723308007342,0.0,4.219479738065139,3.7687120803776635,4.984081539008945,4.3848370882036845,4.609060549930087,3.9499264436679122,3.9151887051731564,4.713171215080633,4.59240994757086,2.2227164711475833,2.802089257881733,3.4194600727860704,5.048224213353438,4.501278409179335,4.244326610230636,3.960280464436642,3.931610406362962,4.5767213355919525,3.3170181010481117,4.673509328929092,4.982361701633147,4.774910936592713,4.328257249731236,4.129012793126035,4.098609119300293,2.681241237375587,4.08543329741699,3.9007493580610797,3.6217992240026677,5.1899588855142795,3.834929096460576,5.559625379159516,4.3812595205488485,3.390581878550435,1.3617278360175928,4.511589277474705,3.7846885995014214,3.59659709562646,4.85688590867794,3.513350798805957,4.098574510025707,4.00770511436478,3.6615287401319825,4.303671144664021,4.751356099725394,3.9305415298644344,2.9813655090785445,1.845098040014257,4.576663783414995,4.30111684587563,3.249198357391113,4.1927068066128585,2.926342446625655
5/26/20,4.194542091442037,2.6138418218760693,0.0,4.22698634552522,3.7786576319473553,4.997333951314943,4.390104563825434,4.613281421356643,3.9546765869186435,3.920905604164024,4.717429161244508,4.605057115010513,2.225309281725863,2.802089257881733,3.4194600727860704,5.0526900951897575,4.506220821543205,4.248022336412354,3.963787827345555,3.9505108929859967,4.579532090157864,3.3242824552976926,4.6784091088214215,4.984500309738579,4.777484821118284,4.3413553748637055,4.1377337947537125,4.104521252618328,2.681241237375587,4.094506066454455,3.906227263052359,3.625312450961674,5.191833718021377,3.840482487213442,5.56090686206872,4.388385425718033,3.384353414137506,1.3617278360175928,4.518606053180559,3.788097633380297,3.598571663482141,4.862006083986332,3.5217916496391233,4.098574510025707,4.017742664161498,3.667733052533267,4.311372361803548,4.757631334422938,3.935557645093014,2.9836262871245345,1.845098040014257,4.594867472862688,4.303930064275368,3.249198357391113,4.200412701197246,2.929929560084588
5/27/20,4.205014792569004,2.6148972160331345,0.0,4.238522812218293,3.78511619502192,5.00454061564779,4.393662930667503,4.613429521975475,3.9563125308411946,3.924641047417163,4.720572720364261,4.616391482643317,2.2329961103921536,2.8027737252919755,3.431202884556517,5.056874373461313,4.511054069468214,4.263919983055772,3.9681092011281978,3.9566005882131767,4.584489532040975,3.329397879361043,4.685060660904496,4.987147661583878,4.781848684103296,4.350325563996703,4.147521743537597,4.109646031090973,2.6830470382388496,4.106972399886674,3.9112108931375533,3.631139250256811,5.19293246407002,3.847880997445375,5.562252407743709,4.396495752197566,3.387389826338729,1.3617278360175928,4.524266268766978,3.7944880466591697,3.6062738531699883,4.866629912507694,3.5312233745330266,4.1091734214254725,4.0262880620239425,3.673020907128896,4.319564066092164,4.767474973821422,3.9398685444595096,2.9849771264154934,1.845098040014257,4.6047658847038875,4.308692442201257,3.278753600952829,4.2165089781866,2.935003151453655
5/28/20,4.2182991258851725,2.6283889300503116,0.0,4.2523189329416535,3.802089257881733,5.016255924926273,4.399812119978673,4.616391482643317,3.9599472157084987,3.9290611240847655,4.725911632295048,4.6237143568159675,2.2355284469075487,2.8048206787211623,3.4424797690644486,5.062589504413823,4.519421062133288,4.269185932813952,3.971832279924925,3.9617532141867824,4.587924132208408,3.3394514413064407,4.6964437631389995,4.990538637578169,4.785642983678979,4.35896222304459,4.157547425577808,4.116707341393089,2.6866362692622934,4.115876664268445,3.916401303603876,3.6414741105040997,5.1963254394790805,3.8546703318953353,5.564351175376156,4.411636538756469,3.394801777162711,1.3617278360175928,4.530404626592825,3.7975445143617264,3.6114046377115936,4.870526801421498,3.5424519473759766,4.1126720171171325,4.032981193097368,3.680698029697635,4.327031813021159,4.7810081764447645,3.950462218905598,2.9867717342662448,1.845098040014257,4.617021321023896,4.316222037426815,3.28668096935493,4.22980978295254,2.9429995933660407
5/29/20,4.231265648430266,2.6334684555795866,0.0,4.266537430234306,3.8185557792978027,5.027850897895531,4.408223000352301,4.618435126515527,3.9631264410819047,3.9314070135565733,4.735718633508221,4.63227503248481,2.2380461031287955,2.806179973983887,3.4424797690644486,5.068972076417558,4.52580901112709,4.27776961008365,3.985111979539354,3.974971994298069,4.587924132208408,3.3469394626989906,4.707476494635828,4.993674255633969,4.790833844350289,4.370439066335774,4.170085614365889,4.12165831249807,2.693726948923647,4.128463891064761,3.9230885154423993,3.651956069533074,5.199746951901305,3.862071719379994,5.566184030693385,4.429526194296687,3.401572845676446,1.3617278360175928,4.5386616896384036,3.802020751771976,3.6161603128475828,4.874974395808271,3.5620548296563785,4.11634203918834,4.046573197662005,3.687261346243506,4.334815512506212,4.784631554943246,3.966845423654916,2.9872192299080047,1.845098040014257,4.628736226735675,4.322508727921508,3.290479813330673,4.24816951330681,2.950364854376123
5/30/20,4.239549720840473,2.637489729512511,0.0,4.28463373316459,3.833656996892872,5.040981885239304,4.416390841058393,4.621113938379675,3.9717859378791145,3.9404168646816653,4.743047002483973,4.6348298023739,2.2380461031287955,2.807535028068853,3.447778009294621,5.0745238879349515,4.534178463357085,4.284182494636902,3.986368593570273,3.9867269593312185,4.596531121833604,3.3577443251803754,4.716136952152051,4.997386384397314,4.793552924086593,4.382107135819026,4.182699903336043,4.127072387119455,2.7041505168397992,4.136371723492323,3.93033763573773,3.651956069533074,5.201983981180231,3.869349080759093,5.5678036340239245,4.443966678374578,3.4073909044707316,1.3617278360175928,4.544489725634931,3.807467375684278,3.6217992240026677,4.879084405253863,3.570426178358973,4.11634203918834,4.056714329516394,3.6955692270361857,4.343546443188257,4.797101271884618,3.9792751475910233,2.988112840268352,1.845098040014257,4.639606003413789,4.328155261969947,3.298853076409707,4.260810491066978,2.9537596917332287
