Admin2,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20
Fairfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.47712125471966244,0.6989700043360189,0.9542425094393249,1.2041199826559248,1.2041199826559248,1.4771212547196624,1.6901960800285136,1.845098040014257,2.012837224705172,2.089905111439398,2.089905111439398,2.3201462861110542,2.432969290874406,2.5854607295085006,2.737987326333431,2.783903579272735,2.8767949762007006,2.9585638832219674,3.095518042323151,3.160168292958512,3.27207378750001,3.298197867109815,3.3289908554494287,3.4340896384178907,3.4510184521554574,3.484442207642407,3.5705429398818973,3.616685520895512
Hartford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.47712125471966244,0.6989700043360189,0.9030899869919435,1.0791812460476249,1.2787536009528289,1.4771212547196624,1.4771212547196624,1.7403626894942439,1.792391689498254,1.9493900066449128,2.0681858617461617,2.143014800254095,2.278753600952829,2.359835482339888,2.4424797690644486,2.519827993775719,2.595496221825574,2.6720978579357175,2.7323937598229686,2.832508912706236,2.8615344108590377,2.876217840591642,2.9459607035775686,3.0195316845312554
Litchfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.3010299956639812,0.6020599913279624,0.6020599913279624,0.6020599913279624,0.6989700043360189,0.7781512503836436,0.7781512503836436,0.9030899869919435,0.9542425094393249,0.9542425094393249,1.1139433523068367,1.146128035678238,1.3617278360175928,1.5314789170422551,1.6532125137753437,1.724275869600789,1.8195439355418688,1.9444826721501687,2.0569048513364727,2.0863598306747484,2.12057393120585,2.1522883443830563,2.2405492482826,2.2624510897304293,2.296665190261531,2.3636119798921444,2.4082399653118496
Middlesex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.6020599913279624,0.7781512503836436,0.7781512503836436,0.8450980400142568,0.9542425094393249,0.9542425094393249,1.2041199826559248,1.2787536009528289,1.414973347970818,1.462397997898956,1.591064607026499,1.7075701760979363,1.7558748556724915,1.8260748027008264,1.8750612633917,1.9637878273455553,2.0043213737826426,2.0453229787866576,2.1335389083702174,2.1789769472931693
New Haven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.6989700043360189,0.6989700043360189,0.9542425094393249,1.0413926851582251,1.380211241711606,1.380211241711606,1.380211241711606,1.4771212547196624,1.6232492903979006,1.954242509439325,2.1072099696478683,2.1958996524092336,2.3483048630481607,2.374748346010104,2.44870631990508,2.5728716022004803,2.714329759745233,2.7867514221455614,2.8115750058705933,2.950364854376123,3.010723865391773,3.0655797147284485,3.1670217957902564,3.2214142378423385
New London,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3010299956639812,0.3010299956639812,0.6020599913279624,0.6989700043360189,0.8450980400142568,1.0,1.146128035678238,1.2041199826559248,1.3010299956639813,1.3222192947339193,1.3979400086720377,1.4471580313422192,1.4771212547196624,1.4771212547196624,1.6127838567197355,1.7634279935629373,1.7634279935629373,1.8195439355418688,1.9344984512435677
Tolland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6989700043360189,0.6989700043360189,0.6989700043360189,1.1760912590556813,1.2304489213782739,1.3010299956639813,1.4471580313422192,1.5314789170422551,1.5314789170422551,1.5797835966168101,1.6127838567197355,1.7075701760979363,1.7558748556724915,1.792391689498254,1.8325089127062364,1.9030899869919435,1.9637878273455553,1.9777236052888478,2.0170333392987803,2.0492180226701815
Windham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47712125471966244,0.47712125471966244,0.3010299956639812,0.47712125471966244,0.47712125471966244,0.47712125471966244,0.6020599913279624,0.6020599913279624,0.6020599913279624,0.9030899869919435,1.0413926851582251,1.0791812460476249,1.3010299956639813,1.3424226808222062,1.4471580313422192,1.505149978319906,1.5185139398778875,1.6127838567197355,1.6434526764861874
