Super Sector,Jan 2020,Feb 2020
00,3.2999999999999545,4.0
05,2.900000000000091,3.2999999999999545
08,2.8999999999998636,2.1000000000001364
15,-0.3999999999999986,0.29999999999999716
41,-0.20000000000000284,0.10000000000000142
43,0.8999999999999986,-1.3000000000000043
Construction,-0.5,0.29999999999999716
Education and Health Services,1.3999999999999773,3.6000000000000227
Goods-Producing Industries,0.0,1.200000000000017
Government*,0.8000000000000114,1.3999999999999773
Information,-0.20000000000000284,0.10000000000000142
Leisure and Hospitality,-0.39999999999997726,4.400000000000034
Management of Companies and Enterprises Sector ,-0.4000000000000057,1.0
Manufacturing,0.8000000000000682,1.7999999999999545
Natural Resources and Mining,0.09999999999999998,0.0
Other Services,-0.19999999999998863,0.5999999999999943
Professional and Business Services,-1.8000000000000682,-1.6000000000000227
Service-Providing Industries,3.2999999999999545,2.800000000000182
Trade,3.900000000000034,-2.3000000000000114
Wholesale Trade Sectors,3.200000000000017,-1.0999999999999943
