Date,Fairfield,Hartford,Litchfield,Middlesex,New Haven,New London,Tolland,Windham
1/30/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1/31/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/1/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/2/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/3/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/4/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/5/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/6/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/7/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/8/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/9/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/10/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/11/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/12/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/13/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/14/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/15/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/16/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/17/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/18/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/19/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/20/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/21/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/22/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/23/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/24/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/25/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/26/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/27/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/28/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2/29/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/1/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/2/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/3/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/4/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/5/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/6/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/7/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/8/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/9/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/10/20,0.10600721697133142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3/11/20,0.21201443394266284,0.0,0.5545296756555927,0.0,0.0,0.0,0.0,0.0
3/12/20,0.4240288678853257,0.0,0.5545296756555927,0.0,0.0,0.0,0.0,0.0
3/13/20,0.8480577357706514,0.0,1.6635890269667784,0.0,0.0,0.0,0.0,0.0
3/14/20,1.5901082545699712,0.11214282510204998,1.6635890269667784,0.0,0.46796925909936976,0.0,0.0,0.0
3/15/20,1.5901082545699712,0.22428565020409996,1.6635890269667784,0.0,0.46796925909936976,0.0,0.0,0.0
3/16/20,3.0742092921686113,0.4485713004081999,2.218118702622371,0.0,0.46796925909936976,0.0,0.0,0.0
3/17/20,5.088346414623907,0.7849997757143498,2.772648378277964,0.0,0.9359385181987395,0.0,0.0,0.0
3/18/20,7.314497971021868,1.2335710761225496,2.772648378277964,0.6156270777413874,1.1699231477484244,0.0,0.0,0.0
3/19/20,10.812736131075804,2.0185708518368997,3.8817077295891487,1.846881233224162,2.690823239821376,0.0,2.653910204948216,0.0
3/20/20,12.932880470502433,3.2521419279594492,4.436237405244742,3.078135388706937,2.690823239821376,0.3770653755948206,2.653910204948216,1.7125926940795673
3/21/20,12.932880470502433,3.2521419279594492,4.436237405244742,3.078135388706937,2.690823239821376,0.3770653755948206,2.653910204948216,1.7125926940795673
3/22/20,22.049501130036933,6.0557125555106985,6.654356107867113,3.693762466448324,3.3927771284704304,1.131196126784462,9.288685717318755,0.8562963470397836
3/23/20,28.62194858225948,6.840712331225047,7.208885783522705,4.925016621931099,4.79668490576854,1.5082615023792825,10.615640819792864,1.7125926940795673
3/24/20,40.70677131699126,9.868568608980397,12.199652864423038,4.925016621931099,10.412316014960977,2.262392253568924,12.606073473504024,1.7125926940795673
3/25/20,57.879940466346945,13.008567711837797,18.29947929663456,9.234406166120811,14.858023976404992,3.3935883803533855,17.913893883400455,1.7125926940795673
3/26/20,64.34638070159816,15.475709864082896,24.399305728846077,11.081287399344973,18.25080110487542,4.901849882732669,21.89475919082278,2.5688890411193506
3/27/20,79.71742716244123,21.194993944287443,28.83554313409082,15.390676943534686,25.972293880015023,5.655980633922309,21.89475919082278,2.5688890411193506
3/28/20,96.25455300996892,25.56856412326739,36.04442891761352,17.23755817675885,27.610186286862817,7.164242136301592,24.548669395770993,2.5688890411193506
3/29/20,131.9789851293076,30.951419728165792,48.24408178203657,23.393828954172722,32.757848136955886,7.541307511896413,26.539102049482157,5.994074429278485
3/30/20,153.18042852357388,37.00713228367649,62.66185334908198,30.781353887069372,43.63813341101623,9.049569014275695,33.1738775618527,8.562963470397836
3/31/20,198.23349573638976,44.072130265105635,67.09809075432672,34.4751163535177,60.48502673859354,10.180765141060158,37.15474286927502,9.419259817437618
4/1/20,210.5303329050642,52.59498497286143,72.64338751088265,40.631387130931564,71.48230432742874,10.934895892249799,40.47213062546029,16.269630593755885
4/2/20,226.00738658287855,60.44498273000494,78.18868426743857,45.55640375286267,75.69402765932307,10.934895892249799,44.45299593288261,17.982223287835453
4/3/20,287.9156012941361,76.14497824429193,95.93363388841753,56.02206407446624,104.24015246438462,15.082615023792826,52.414726547727255,23.120001370074156
4/4/20,299.3643807270399,81.41569102408828,100.92440096931789,61.562707774138744,119.80013032943866,21.492726408904776,60.3764571625719,26.54518675823329
4/5/20,323.3220117625608,84.21926165163953,109.24234610415176,67.71897855155261,135.94506976836692,21.492726408904776,62.36688981628306,27.401483105273076
4/6/20,394.24083991638156,98.90997174000807,127.54182540078634,83.1096554950873,171.7447180894687,24.50924941366334,68.33818777741655,34.251853881591344
4/7/20,438.44584939342667,117.18925223164223,141.40506729217614,92.3440616612081,194.67521178533784,32.05055692555975,73.64600818731297,36.82074292271069
4/8/20,438.44584939342667,117.18925223164223,141.40506729217614,92.3440616612081,194.67521178533784,32.05055692555975,73.64600818731297,36.82074292271069
4/9/20,517.52723325404,164.96209572511552,174.6768478315117,126.20355093698441,255.39422315348105,52.41208720768006,96.20424492937282,44.52741004606874
4/10/20,549.1173839114967,181.1106625398107,191.86726777683506,147.75049865793298,278.7926861084495,58.82219859279201,100.84858778803219,50.52148447534723
4/11/20,573.1810221639889,205.44565558695552,215.15751415436998,178.53185254500235,317.63413461369726,69.75709448504182,113.45466126153623,56.51555890462571
4/12/20,586.643938719348,214.64136724532366,223.47545928920385,184.07249624467482,344.65935932668583,71.64242136301591,120.7529143251438,56.51555890462571
4/13/20,636.4673306958738,251.5363567038981,247.32023534239437,208.69757935433032,392.8601930139209,83.70851338205017,129.37812249122553,71.07259680430204
4/14/20,658.6228390428821,265.7784954918584,255.08365080157267,218.5476125981925,414.50377124726674,85.59384026002428,133.35898779864783,74.49778219246117
4/15/20,686.9267659742276,288.2070605122684,271.7195410712404,233.3226624639858,439.6571189238579,88.98742864037767,143.31115106720364,76.21037488654073
4/16/20,722.5451908765949,320.61633696676085,296.6733764757421,242.55706863010664,487.03900640766904,96.15167077667925,159.89808984812998,74.49778219246117
4/17/20,757.5275724771342,338.1106176826807,315.52738544803225,259.7946268068655,528.8052627822879,110.10308967368762,171.17720821915992,78.77926392766008
4/18/20,780.5311385599131,358.4084690261517,328.83609766376645,275.8009308281416,554.8945489770778,118.7755933123685,179.13893883400453,83.060745662859
4/19/20,788.0576509648777,375.7906069169694,332.7178053933556,284.41970991652096,569.8695652682576,127.82516232664419,183.11980414142687,85.62963470397835
4/20/20,881.9800452014774,428.72202036513704,354.34446274392377,297.96350562683153,616.7834834929694,134.23527371175615,198.37978781987914,92.48000548029663
4/21/20,898.0931421811197,443.07630197819947,356.5625814465461,315.20106380359033,642.6387850582096,139.13712359448883,202.36065312730145,95.90519086845576
4/22/20,1047.6693253276683,462.9255820212623,400.37042582333794,323.20421581422835,679.8423411566095,149.69495411114377,219.61106945946486,104.4681543388536
4/23/20,1060.9202274490847,482.55057641412105,416.45178641735015,335.5167573690561,709.4413967946446,157.99039237422986,238.18844089410234,110.46222876813208
4/24/20,1084.1358079658064,512.4927107163684,448.0599779297189,345.3667906129183,735.4136906746596,168.92528826647964,248.8040817138952,119.0251922385299
4/25/20,1099.6128616436206,533.9119903108599,462.4777494967643,354.6011967790391,761.5029768694494,178.35192265635015,254.77537967502872,129.3007484030073
4/26/20,1116.1499874911483,559.4805544341273,479.11363976643213,361.98872171193574,785.603393713067,187.77855704622067,270.03536335348093,134.438526485246
4/27/20,1140.95567626244,578.3205490512717,494.64047068478874,374.9168903445049,818.1272572204731,194.56573380692745,277.9970939683256,140.4326009145245
4/28/20,1152.7224773462578,585.834118333109,499.07670809003343,380.4575340441774,829.358519438858,199.84464906525494,279.98752662203674,140.4326009145245
4/29/20,1164.4892784300755,604.2255416498452,509.61277192748975,388.4606860548154,842.9296279527397,203.61530282120313,283.304914378222,141.2888972615643
4/30/20,1197.2455084742169,628.1119633965819,534.0120776563358,404.4669900760915,881.6540841432127,212.66487183547886,289.93968989059255,159.27112054939974
5/1/20,1230.9558034711004,665.1190956802584,562.2930911147711,422.93580240833313,924.2392867212552,227.37042148367684,295.910987851726,171.2592694079567
5/2/20,1250.991167478682,685.4169470237294,574.4927439791941,435.2483439631609,938.7463337533358,234.91172899557327,305.8631511202818,180.67852922539433
5/3/20,1250.991167478682,685.4169470237294,574.4927439791941,435.2483439631609,938.7463337533358,234.91172899557327,305.8631511202818,180.67852922539433
5/4/20,1298.058371813953,692.2576593549544,580.5925704114055,438.9421064296092,948.8076728239722,241.69890575628,307.853583773993,185.81630730763302
5/5/20,1310.2492017656562,712.2190822231194,590.5741045732062,451.8702750621783,975.3649282778614,256.78152078007287,333.06573072100105,190.95408538987172
5/6/20,1320.3198873779327,732.2926479163863,601.6646980863181,456.79529168410943,984.9582980893985,265.4540244187537,340.36398378460865,207.22371598362759
5/7/20,1344.0655039795108,756.9640694388373,617.7460586803303,470.3390873944199,1015.2593076160828,279.7825086913569,346.3352817457421,214.07408675994589
5/8/20,1365.2669473737772,774.2340645045531,626.6185334908198,477.1109852495752,1039.7107014040248,284.6843585740896,351.64310215563853,213.21779041290608
5/9/20,1381.2740371364482,796.7747723500651,633.2728895986869,485.7297643379547,1063.5771336180926,292.22566608598595,358.27787766800907,227.7748283125824
5/10/20,1403.1115238325426,814.493338716189,639.3727160308985,491.27040803762713,1077.382226761524,294.8651237151497,360.26831032172026,231.20001370074158
5/11/20,1411.1680723223637,825.1469071008837,643.8089534361432,493.1172892708513,1083.348834815041,295.6192544663394,361.59526542419434,232.05631004778135
5/12/20,1429.825342509318,844.2111873682321,649.354250192699,506.66108498116176,1103.2375283267643,299.01284284669276,368.89351848780194,240.6192735181792
5/13/20,1445.514410621075,867.0883236890504,653.7904875979438,515.2798640695413,1119.616452395242,303.1605619782358,371.5474286927502,245.75705160041787
5/14/20,1466.7158540153414,889.8533171847665,667.099199813678,531.2861680908173,1136.2293610932697,309.57067336334774,376.8552491026466,249.182236988577
5/15/20,1485.0551025513817,911.272596779258,675.4171449485119,544.8299638011279,1156.0010622902182,318.24317700202863,386.8074123712024,257.7452004589748
5/16/20,1498.9420479746261,930.6733055219128,684.2896197590014,552.8331158117659,1178.6975713565375,324.2762230115457,421.97172258676625,260.31408950009416
5/17/20,1510.39082740753,978.2218633651819,703.6981584069471,559.6050136669212,1188.5249257976243,329.1780728942784,474.38644913449355,268.02075662345226
5/18/20,1530.6382058490542,1004.4632844390616,709.7979848391587,576.2269447659386,1209.466550142321,330.3092690210629,487.6560001592346,275.7274237468103
5/19/20,1539.4368048576748,1014.8925671735523,715.3432815957146,582.9988426210938,1219.8788661572821,331.81753052344214,510.87771445253145,279.1526091349694
5/20/20,1560.320226601027,1035.5268469923294,720.3340486766149,594.0801300204388,1238.5976365212568,337.8505765329593,521.4933552723244,281.72149817608874
5/21/20,1563.7124575441096,1042.8161306239626,722.5521673792373,598.3895195646285,1247.4890524441448,340.49003416212304,522.1568328235614,287.71557260536724
5/22/20,1578.3414534861533,1061.2075539406987,719.7795190009593,610.7020611194563,1258.3693377182053,343.1294917912868,528.1281307846949,297.9911287698447
5/23/20,1588.9421751832865,1070.403265599067,723.106697054893,615.011450663646,1269.015638362716,365.75341432697604,530.1185634384061,303.12890685208333
5/24/20,1602.193077304703,1086.2154039384561,738.0789982975939,621.7833485188013,1275.8011926196568,394.41038287218237,535.4263838483025,307.4103885872823
5/25/20,1612.6877917848647,1103.5975418292737,746.3969434324277,623.014602674284,1288.904331874439,393.2791867453979,538.7437716044878,312.548166669521
5/26/20,1627.7408165947936,1112.1203965370296,754.160358891606,631.6333817626635,1301.0715326110228,405.3452787644322,544.7150695656213,317.6859447517597
5/27/20,1623.3945206989692,1117.166823666622,754.160358891606,653.180329483612,1301.4225095553475,397.0498405013461,540.7342042581989,317.6859447517597
5/28/20,1627.5288021608512,1130.1753913784596,757.4875369455395,666.1084981161812,1310.0799408486857,402.32875575967364,545.3785471168584,321.1111301399188
5/29/20,1633.4652063112458,1137.801103485399,762.47830402644,671.0335147381122,1315.1106103840038,402.7058211352685,548.6959348730436,325.3926118751178
5/30/20,1643.3238774895797,1144.641815816624,765.8054820803735,679.6522938264917,1323.0660877886933,405.722344140027,552.676800180466,326.2489082221575
5/31/20,1648.306216687232,1154.6225272507065,774.677956890863,679.6522938264917,1324.703980195541,406.4764748912166,554.6672328341771,328.8177972632769
6/1/20,1665.2673714026453,1171.668236666218,776.3415459178298,703.6617498584058,1342.9547813004165,411.3783247739493,560.6385307953105,332.242982651436
6/2/20,1672.369854939724,1181.5368052751985,777.450605269141,710.4336477135611,1348.336427780059,412.5095209007338,562.6289634490217,336.5244643866349
6/3/20,1673.7479487603516,1187.9289463060154,778.5596646204522,714.7430372577508,1351.0272510198806,414.7719131543027,567.9367838589181,335.6681680395952
6/4/20,1679.4723384768035,1192.7510877854036,779.6687239717634,720.8993080351646,1355.0049897222252,416.28017465668194,569.9272165126293,339.94964977479407
6/5/20,1686.9988508817682,1197.3489436145876,781.3323129987301,720.2836809574233,1365.6512903667358,417.78843615906123,569.9272165126293,346.80002055111237
6/6/20,1698.235615880729,1205.198941371731,783.5504317013525,722.7461892683888,1382.4981836943132,419.2966976614405,573.2446042688146,356.2192803685499
