Date,Fairfield,Hartford,Litchfield,Middlesex,New Haven,New London,Tolland,Windham
5/20/20,123.71042220554375,125.15139281388777,67.09809075432672,80.64714718412175,100.02842913249029,25.640445540447804,36.49126531803796,11.98814885855697
5/21/20,125.08851602617105,127.05782084062261,67.09809075432672,80.64714718412175,102.2512831132123,27.525772418421905,36.49126531803796,11.98814885855697
5/22/20,126.67862428074102,129.52496299286773,67.09809075432672,83.1096554950873,103.88917552006009,27.148707042827084,36.49126531803796,11.98814885855697
5/23/20,128.05671810136835,131.0949625442964,67.65262042998232,83.72528257282869,104.94210635303367,27.148707042827084,36.49126531803796,11.98814885855697
5/24/20,128.79876862016766,131.7678194949087,67.09809075432672,83.72528257282869,105.64406024168272,27.90283779401673,36.49126531803796,11.98814885855697
5/25/20,129.43481192199565,133.1135333961333,69.87073913260468,84.95653672831146,107.86691422240474,29.411099296396007,37.15474286927502,11.98814885855697
5/26/20,130.49488409170897,133.7863903467456,71.53432815957146,87.41904503927701,108.21789116672925,29.411099296396007,37.15474286927502,11.98814885855697
5/27/20,131.66096347839363,134.9078185977661,72.08885783522705,88.0346721170184,109.27082199970283,29.78816467199083,37.81822042051207,11.98814885855697
5/28/20,132.08499234627894,135.46853272327635,70.97979848391587,88.65029919475978,110.67472977700095,31.296426174370115,37.81822042051207,11.98814885855697
5/29/20,133.2510717329636,137.03853227470506,72.08885783522705,89.88155335024256,111.9616452395242,32.05055692555975,37.81822042051207,11.98814885855697
5/30/20,134.3111439026769,138.83281747633785,72.64338751088265,92.3440616612081,113.01457607249779,33.55881842793904,37.81822042051207,11.98814885855697
5/31/20,135.3712160723902,140.17853137756245,73.75244686219382,93.57531581669089,113.71652996114686,33.55881842793904,37.81822042051207,11.98814885855697
6/1/20,136.53729545907487,141.1878168034809,75.41603588916061,94.19094289443227,113.95051459069654,33.55881842793904,38.48169797174913,11.131852511517184
6/2/20,136.43128824210353,140.5149598528686,73.75244686219382,92.3440616612081,115.2374300532198,33.935883803533855,39.80865307422324,11.98814885855697
